ID,SITENO,DATE,LONGITUDE,LATITUDE,CL,TDS,GROUNDWATE,TEMPRETURE
775,ZH1,2007-07-23,113.5319444440,22.4055555556,17.8668000000,166.0000000000,,
829,ZH1,2009-08-14,113.5319444440,22.4055555556,13.8786750000,180.0000000000,,
830,ZH2,2007-07-23,113.5305555560,22.4069444444,16.8742000000,208.0000000000,,
884,ZH2,2009-08-14,113.5305555560,22.4069444444,15.7929750000,199.0000000000,,
885,ZH3,2007-07-23,113.5300000000,22.4080555556,24.8150000000,253.0000000000,,
939,ZH3,2009-08-14,113.5300000000,22.4080555556,14.8358250000,184.0000000000,,
940,ZH4,2007-07-23,113.5255555560,22.4080555556,15.8816000000,97.0000000000,,
994,ZH4,2009-08-14,113.5255555560,22.4080555556,14.8358250000,183.0000000000,,
995,ZS5,2007-07-23,113.5658333330,22.5211111111,66.5042000000,362.0000000000,,
1049,ZS5,2009-08-14,113.5658333330,22.5211111111,96.6721500000,408.0000000000,,
1050,ZS6,2007-07-23,113.5625000000,22.5247222222,72.4598000000,359.0000000000,,
1104,ZS6,2009-08-14,113.5625000000,22.5247222222,117.7294500000,592.0000000000,,
1105,ZS7,2007-07-23,113.5405555560,22.5230555556,18.8594000000,191.0000000000,,
1159,ZS7,2009-08-14,113.5405555560,22.5230555556,0.0000000000,0.0000000000,,
1160,ZS1,2007-07-23,113.5644444440,22.4891666667,273.9576000000,766.0000000000,,
1214,ZS1,2009-08-14,113.5644444440,22.4891666667,0.0000000000,0.0000000000,,
1215,ZS2,2007-07-23,113.5605555560,22.4911111111,53.6004000000,605.0000000000,,
1269,ZS2,2009-08-14,113.5605555560,22.4911111111,0.0000000000,0.0000000000,,
1270,ZS3,2007-07-23,113.5572222220,22.4944444444,12.9038000000,92.0000000001,,
1324,ZS3,2009-08-14,113.5572222220,22.4944444444,0.0000000000,0.0000000000,,
1325,ZS4,2007-07-23,113.5480555560,22.4947222222,77.4228000000,463.0000000000,,
1379,ZS4,2009-08-14,113.5480555560,22.4947222222,0.0000000000,0.0000000000,,
1,SZ1,2008-03-05,113.7899000000,22.6907000000,3450.9622093976,6642.4705569655,0.3774231323,
19,SZ1,2008-03-25,113.7899000000,22.6907000000,3787.3041556602,7300.2467139233,0.3501254439,
37,SZ1,2008-04-10,113.7899000000,22.6907000000,4162.2623081891,8027.5785873539,0.3189787439,
1108,ZS7,2007-08-31,113.5405555560,22.5230555556,21.0360300000,169.0000000000,4.9300000000,
55,SZ1,2008-04-25,113.7899000000,22.6907000000,6563.0739869448,12260.8757347627,0.7756183837,
73,SZ1,2008-05-10,113.7899000000,22.6907000000,7875.0443796361,14344.8741056342,0.8348408985,
91,SZ1,2008-05-25,113.7899000000,22.6907000000,8438.2688293077,15032.1425023130,0.9294260469,
109,SZ1,2008-06-10,113.7899000000,22.6907000000,9034.7797231215,15738.8516425431,1.6600000000,
127,SZ1,2008-06-25,113.7899000000,22.6907000000,9673.8111346939,16492.7310293820,1.7296073844,25.4500000000
147,SZ1,2008-07-10,113.7899000000,22.6907000000,95422.1000000000,14285.5600000000,1.6530544697,25.8000000000
168,SZ1,2008-07-25,113.7899000000,22.6907000000,9245.6000000000,16334.6900000000,1.6252297734,25.9000000000
189,SZ1,2008-08-10,113.7899000000,22.6907000000,9174.1800000000,15885.5900000000,1.5900000000,25.4000000000
210,SZ1,2008-08-25,113.7899000000,22.6907000000,9478.0221120000,16277.4865760000,1.4800000000,25.5500000000
231,SZ1,2008-09-15,113.7899000000,22.6907000000,9052.7856000000,15417.2688000000,1.4800000000,25.5500000000
252,SZ1,2008-09-25,113.7899000000,22.6907000000,9685.7900000000,16233.7200000000,1.3700000000,25.7000000000
273,SZ1,2008-10-15,113.7899000000,22.6907000000,9738.1597500000,16458.1213500000,0.7300000000,25.5500000000
294,SZ1,2008-11-15,113.7899000000,22.6907000000,11066.4103000000,18729.4645500000,-0.1750000000,25.9000000000
315,SZ1,2008-11-27,113.7899000000,22.6907000000,10318.0800000000,17350.9800000000,-0.4400000000,26.4000000000
336,SZ1,2008-12-15,113.7899000000,22.6907000000,9840.0437500000,16385.2060500000,-0.3150000000,26.7000000000
357,SZ1,2008-12-23,113.7899000000,22.6907000000,9970.6700000000,16432.9500000000,-0.1900000000,27.0000000000
