2012,2011,Company,Country,Sector,value,turnover,netincome,totalasset,employees,price,P/E,dividend,Year End
1,3,Apple,US,Technology hardware & equipment,"559,002.10","108,598.00","25,922.00","116,371.00","63,300",599.5,21.7,,24/09/2011
2,1,Exxon Mobil,US,Oil & gas producers,"408,777.40","433,526.00","41,060.00","326,834.00","82,100",86.7,10.3,2.1,31/12/2011
3,2,PetroChina,China,Oil & gas producers,"278,968.40","318,370.60","21,124.80","304,585.80","552,810",1.4,12.2,3.5,31/12/2011
4,10,Microsoft,US,Software & computer services,"270,644.10","69,950.00","23,150.00","108,704.00","90,000",32.3,12,2,30/06/2011
5,14,IBM,US,Software & computer services,"241,754.60","106,916.00","15,855.00","112,930.00","433,362",208.7,16,1.4,31/12/2011
6,4,Industrial & Commercial Bank of China,China,Banks,"236,335.40",N/R,"33,089.10","2,455,479.30","408,859",0.6,6.8,4.7,31/12/2011
7,8,Royal Dutch Shell,UK,Oil & gas producers,"222,425.10","453,723.80","29,836.50","340,526.10","90,000",34.9,7.3,4.5,31/12/2011
8,16,China Mobile,Hong Kong,Mobile telecommunications,"220,978.90","82,032.70","19,555.80","149,608.60","175,336",11,11.3,3.9,31/12/2011
9,11,General Electric,US,General industrials,"212,317.70","142,237.00","14,130.00","717,242.00","301,000",20.1,16.3,3,31/12/2011
10,9,Chevron,US,Oil & gas producers,"211,950.60","236,541.00","26,895.00","208,250.00","61,000",107.2,8,2.9,31/12/2011
11,19,Wal-Mart Stores,US,General retailers,"208,357.70","446,950.00","15,699.00","192,668.00","2,200,000",61.2,13.5,2.4,31/01/2012
12,13,Nestle,Switzerland,Food producers,"207,376.00","89,170.70","10,114.10","118,992.80","328,000",62.8,19.8,3.3,31/12/2011
13,12,Berkshire Hathaway,US,Nonlife insurance,"201,134.60",N/R,"10,254.00","392,647.00","271,000","121,900.00",19.6,,31/12/2011
14,7,China Construction Bank,China,Banks,"193,150.70",N/R,"26,891.70","1,947,936.20","329,438",0.8,7.2,5.2,31/12/2011
15,20,AT&T,US,Fixed line telecommunications,"185,154.80","126,723.00","3,944.00","270,344.00","256,000",31.2,47.3,5.5,31/12/2011
16,21,Procter & Gamble,US,Household goods & home construction,"185,123.10","82,559.00","11,797.00","138,354.00","129,000",67.2,17.1,2.9,30/06/2011
17,36,Samsung Electronics,South Korea,Technology hardware & equipment,"181,774.00","142,396.50","11,529.00","132,916.80","101,970",1125.3,14.6,0.4,31/12/2011
18,25,Johnson & Johnson,US,Pharmaceuticals & biotechnology,"181,390.00","65,039.00","9,672.00","107,104.00","117,900",66,18.9,3.4,01/01/2012
